Partner,2014,2015,2016,2017,2018,2019
Canada,17063513012,14912722991,15030432300,15398635319,16788116364,14186284675
Hong Kong,10790059940,9551263116,7430759005,8861520291,9158908743,6555001627
Switzerland,8741028517,8315688703,6455867992,5592813422,7746989593,6153137433
United Kingdom,6217661256,5871510983,5542012378,6759738300,6431424388,5318101876
Israel,6353636529,5354659761,4895159408,4723108591,4906155297,4420601157
Belgium,4012486175,4473394001,4343610017,3389290225,3768340990,3348209545
Mexico,3063496865,3169987198,2978077313,3153716507,3516425431,3110245179
Germany,2186695446,2169676377,2227844766,2720585909,2964423629,3095014283
China,4291818629,3743235401,2772751426,3168328608,3436181455,2831416887
India,2519526291,2937092376,3508971481,2967881335,3253308537,2555394950
France,1957474418,2026526857,2288043520,2060406883,2585502642,2190236824
Japan,1902657055,2016612937,1904831669,1884078051,1911681823,1809873291
United Arab Emirates,1920910793,2011607737,1896920349,1960309388,1814633450,1606704055
Republic of Korea,1350334941,1426388338,1206012501,1385742690,1183456831,1238838711
Netherlands,1279595377,1156163008,1171583070,1322896213,1321170466,1133074869
Italy,1024550785,1016569648,907824382,858373397,951130950,1079422921
Singapore,1107690209,1017915809,1192324569,1031135378,1246208727,1062246242
Taiwan,843717830,1048154952,637374374,736441226,797137974,898038291
Turkey,738634412,582736603,536577590,775127586,896259616,848767418
Brazil,740505121,623514855,887788982,732417514,779317035,728508456
Australia,1126892171,602857433,701813070,687518686,655340632,652588781
Thailand,501927983,520821061,480491620,459060929,584056798,480712322
Luxembourg,161327781,156685992,251034308,215618864,176282008,355933019
Malaysia,316418579,300184558,264012852,254184098,313896763,350714187
Dominican Republic,217913542,274077852,330173847,236619445,329802451,327444538
Saudi Arabia,464243807,516916599,364336170,395693463,258850738,302557374
Russian Federation,388474058,343395372,311616160,383181324,337352772,288612564
South Africa,350797490,274347300,220869758,230357165,216085836,278310523
Ireland,234447106,201257805,199736859,222547274,266162624,274624804
Sint Maarten,284655316,264243374,267789922,171004096,233245970,248103078
Spain,366025421,380216936,367091851,231740491,266708730,247527815
Vietnam,140443242,140302209,254252084,168768416,206762548,221434586
Austria,141465079,165578738,164518760,163296152,219861833,217199323
Poland,229596362,212656118,247505890,295912623,230965879,207748976
Chile,215920745,199233239,211875313,164598743,190440638,201857291
Philippines,166798277,180773025,145006618,131273174,140947375,195406630
Indonesia,231064161,194368303,155026065,177835793,189066711,158419152
Peru,94645452,110869145,95761114,77702660,89266796,145868762
Pakistan,73233710,69396435,138639634,134074880,128004272,136097769
Ukraine,45859978,46955759,46108162,88818173,107503638,132268604
Czech Republic,148953167,92213812,161803198,118291246,120256047,131733821
Sweden,177066088,140764228,208754030,127448352,158949833,126290997
Colombia,184943497,176146824,142802505,117746088,119304341,125990588
Jordan,201236181,216089924,132082290,123513834,140371612,120129927
Ghana,91324576,66760414,70106646,88580523,82881156,117890989
Guatemala,65257692,237039685,59255315,187203284,161881027,114785066
Nigeria,193993140,135950750,108991934,87948360,122445080,111459759
Norway,133461637,131267588,113864239,112683755,155629407,100110271
Qatar,306315363,236489088,131365360,127488680,125493261,94671601
Argentina,169482556,178312273,111455251,121438768,112610396,93799777
Kuwait,78165720,97188210,99136617,62116018,131699279,89920007
Denmark,77267743,66778662,61280966,80362634,102632868,89600832
Lithuania,105699490,49943463,47049412,33634285,68274715,85690175
Costa Rica,81345435,71099502,61354998,63029354,71767607,80195556
Romania,33982368,32059246,37189284,151828969,49507882,76552854
Egypt,71076885,84089343,49727199,63257467,59365522,76424107
New Zealand,60905746,55316131,60678126,76253192,75042027,74700555
Panama,85568060,100839157,85300137,79283914,79810782,71959178
Botswana,434034,372376,839155,5067988,5578152,67814331
Lebanon,80262690,82586135,67570580,64830481,64550413,65119507
Macau; SAR of China,8384934,22489941,64452473,37042333,60244049,64687445
Greece,53234605,35189664,41060412,32977346,34207277,60895431
Oman,89817434,138040808,81070034,52104946,65864656,59343201
El Salvador,28786597,76691646,55740473,75043375,67973410,56730993
Monaco,42720559,41555526,33456590,19286038,152623165,55478366
Finland,185346946,71957168,80581482,76338223,74344234,55010680
Bermuda,33912593,33167428,24961121,24042910,29421641,51422667
Georgia,121908035,34979241,30600417,52799335,40076096,51174327
Ecuador,74698256,61731275,37894135,31325796,44290833,45670876
Iraq,121502168,139279215,94823894,57048874,80795292,45455182
Gibraltar,225173,973179,9575278,2120593,493148,41595860
Bahamas,23224610,23728391,24535321,33630076,66263539,40926251
Bahrain,36773107,42288070,47583097,58349258,18984928,40792445
Trinidad and Tobago,44443721,50274598,42721134,33708764,35181208,40626042
Estonia,43220447,41398962,27336492,28918320,40490087,38487930
Hungary,46680243,44667082,59108539,44691497,59038017,38305710
Haiti,70123731,143153608,89346502,117219451,50035117,38261828
Latvia,58882079,30563076,35487505,58527922,60967706,36432684
Albania,7799523,5677883,10047998,15589524,13132261,36158595
Jamaica,75519281,69385084,44425651,43355765,51860414,35730827
Libya,38012142,8118558,5732897,6082907,17492335,32239048
Venezuela,97474098,74862092,42127638,10536775,108075628,32016830
Honduras,45462178,94661324,65212130,33474578,33858452,31831346
Portugal,43189968,32442803,35538093,97712576,44649171,30434606
Morocco,18276704,13413665,24435194,49008479,20203354,29267592
Aruba,39027450,26183651,24033133,33309494,29378460,28841763
Senegal,26642194,28054974,20231198,21914372,22690951,27198321
Cayman Islands,11396691,12551926,16730733,19187390,20363162,27135896
Kazakhstan,22776065,16138836,12298309,21469724,21948017,24612844
Uruguay,30608035,19376952,26498070,32036151,22436416,24478235
Cambodia,24791607,36435927,16744419,21189254,20810562,24410867
Saint Kitts and Nevis,13576713,15536904,9333063,14681717,14612982,23598332
Paraguay,21955252,13893862,14054612,16567891,12122265,23264237
Bangladesh,24367177,20896037,36243274,30194609,57282694,21648544
Bulgaria,7688967,9064313,7251614,8380245,16978828,19882862
Slovakia,19133067,23254646,17171838,21408905,14364634,19183638
Algeria,126082332,95707670,53676335,63511146,101122681,17452235
Ethiopia,7394627,5727308,8319079,5581604,9816496,17359159
Guyana,20732786,28880682,27404431,18376411,36039911,17181936
Armenia,9439851,7304155,6875525,9608365,8390284,15632367
Tunisia,6149920,9584241,6469726,6797284,13933942,10128803
Sri Lanka,38328389,16408489,12558609,11378189,9023346,9954511
Uzbekistan,7971957,6422243,13137809,11103891,2810951,9803639
Namibia,10860394,9472239,10905719,8572616,13625112,9757496
Iceland,24105142,33867828,39320158,32014712,30207534,9732233
Turks and Caicos Islands,2569421,3804813,3903921,10802018,7431368,9557744
Guinea,7822015,9883175,9004732,8870184,10589963,9489331
Croatia,85749470,43456253,7129517,4702021,8423706,9121041
Slovenia,5727355,7444502,5906605,13877280,12438574,8926563
Barbados,11082598,14537870,6890084,7526077,9517435,8721417
Myanmar,6667691,5403628,4366428,4576658,4604401,8689215
Curacao,41536831,10742673,12137624,29760992,6048208,8500302
Bolivia,20177920,12649716,10403926,8259156,8385716,8265133
Nicaragua,25601683,55563839,24877451,28952253,10270779,8228998
Benin,71000424,55186822,41383252,12750272,11766829,8156135
Côte d'Ivoire,25502246,22752586,10134407,10705316,8114289,8020885
British Virgin Islands,2111947,3537069,4469455,3178872,5153546,7795547
Togo,21000983,5667995,4996596,3774516,4830387,6926360
Belarus,4876457,2014976,2897654,8315403,12417509,6901993
Kenya,18216524,10820724,20750933,9629373,9142227,6892744
Mauritania,2417310,1182220,1422103,2253230,5302275,6310778
Madagascar,6804295,5974720,6562485,6734088,5367745,6044741
Azerbaijan,7569115,10242275,3906015,9937069,5891155,6018764
Cuba,112915,659030,1340714,43500,5080975,5893065
Liberia,4869131,5692974,4707801,5796355,8475256,5446829
Gambia,5028774,5510094,4082510,3815852,4485547,5427391
Sierra Leone,2466826,3008717,2792619,5593440,3650258,5333063
Kyrgyzstan,3574583,1205479,1704010,2759653,3726420,5321123
Papua New Guinea,2426981,852733,1055979,715005,4520123,4856953
Saint Lucia,8014521,5993843,5356299,4018583,4769620,4734423
Mali,4458693,12120509,5193532,4429126,5851307,4644772
Iran,3032595,2064910,3365470,1653798,2270720,4620017
Antigua and Barbuda,5721669,2714645,3080577,17141637,3904916,4524167
Dominica,1473338,773083,1594534,2691977,1572651,4459150
Afghanistan,8691030,7394618,17831610,7138836,4608063,4353227
Chad,566298,668208,205514,1783136,321913,3985034
Central African Republic,3507974,1016262,919818,352536,1529055,3916137
Liechtenstein,8811079,4789027,5397486,4383759,2170691,3792851
Grenada,2423323,2996171,3751179,5253695,4197774,3313728
